pt,no_reactions
Colorectal cancer,36
Colorectal cancer metastatic,26
Colorectal cancer stage IV,3
Colostomy,58
Colour blindness acquired,2
Colporrhaphy,4
Colposcopy,1
Coma,6481
Coma scale,18
Coma scale abnormal,343
Communication disorder,121
Complement factor C4 decreased,5
Completed suicide,18279
Complex partial seizures,36
Complex regional pain syndrome,109
Complication associated with device,265
Complication of device insertion,349
Complication of device removal,137
Complications of transplanted kidney,12
Complications of transplanted lung,2
Compression fracture,77
Compulsions,58
Compulsive hoarding,26
Compulsive sexual behaviour,72
Compulsive shopping,150
Computerised tomogram abdomen abnormal,2
Computerised tomogram abnormal,21
Concomitant disease aggravated,119
Concomitant disease progression,12
Concussion,507
Condition aggravated,12103
Conduct disorder,23
Conduction disorder,41
Confusional state,8039
Congenital anomaly,685
Congenital central nervous system anomaly,49
Congenital hand malformation,51
Congenital hydronephrosis,97
Congenital nystagmus,2
Congenital skin dimples,59
Congestive cardiomyopathy,114
Conjunctival haemorrhage,77
Conjunctival hyperaemia,41
Conjunctival oedema,7
Conjunctivitis,550
Connective tissue disorder,25
Consciousness fluctuating,45
Constipation,7743
Contraindicated drug administered,80
Contraindicated drug prescribed,14
Contraindicated product administered,1672
Contraindicated product prescribed,46
Contraindication to medical treatment,20
Contralateral breast cancer,1
Contusion,2928
Conversion disorder,93
Convulsion,128
Convulsion neonatal,42
Convulsive threshold lowered,74
Coombs direct test positive,1
Coombs positive haemolytic anaemia,7
Coordination abnormal,287
Cor pulmonale,6
Cornea verticillata,13
Corneal deposits,28
Corneal disorder,26
Corneal scar,10
Corneal transplant,19
Cornelia de Lange syndrome,1
Corona virus infection,8
Coronary arterial stent insertion,58
Coronary artery bypass,40
Coronary artery disease,225
Coronary artery dissection,25
Coronary artery occlusion,206
Coronary artery stenosis,15
Coronavirus infection,171
Coronavirus test positive,21
Corrected transposition of great vessels,2
Cortisol decreased,33
Cortisol increased,15
Corynebacterium infection,7
Costochondritis,32
Costovertebral angle tenderness,2
Cotard's syndrome,9
Cough,5339
Cranial nerve infection,4
Craniocerebral injury,155
Creatinine renal clearance decreased,849
Creatinine renal clearance increased,71
Crepitations,25
Critical illness myopathy,1
Crohn's disease,1856
Cross sensitivity reaction,3
Crying,2514
Cryoglobulinaemia,2
Cryopyrin associated periodic syndrome,4
Cryptococcosis,10
Cryptorchism,49
Crystal nephropathy,11
Crystal urine,8
Culture urine positive,9
Cushing's syndrome,78
Cushingoid,17
Cutaneous T-cell lymphoma,21
Cutaneous lupus erythematosus,76
Cutaneous sarcoidosis,17
Cutaneous vasculitis,81
Cutis laxa,10
Cyanopsia,6
Cyanosis,243
Cyclic vomiting syndrome,33
Cyst,265
Cyst removal,14
Cystadenocarcinoma ovary,1
Cystic fibrosis,236
Cystic fibrosis lung,8
Cystic fibrosis related diabetes,7
Cystic fibrosis respiratory infection suppression,73
Cystitis,1096
Cystitis interstitial,92
Cystitis noninfective,19
Cystoscopy,6
Cytokine release syndrome,225
Cytomegalovirus chorioretinitis,13
Cytomegalovirus hepatitis,1
Cytomegalovirus infection,92
Cytomegalovirus infection reactivation,11
Cytomegalovirus test positive,18
Cytopenia,154
Cytotoxic oedema,1
Dacryocystitis,4
Dacryostenosis acquired,33
Dandruff,24
Dark circles under eyes,35
Daydreaming,47
Deafness,549
Deafness bilateral,52
Deafness neurosensory,105
Deafness transitory,30
Deafness unilateral,176
Death,17866
Death neonatal,39
Death of relative,11
Decidual cast,2
Decreased activity,238
Decreased appetite,4648
Decreased immune responsiveness,137
Decreased interest,278
Decreased vibratory sense,9
Decubitus ulcer,248
Deep brain stimulation,58
Deep vein thrombosis,2225
Deep vein thrombosis postoperative,3
Defaecation urgency,94
Deformity,28
Degenerative bone disease,6
Dehydration,3088
Dehydroepiandrosterone decreased,2
Deja vu,30
Delayed dark adaptation,14
Delayed visual maturation,1
Delirium,2051
Delirium tremens,19
Delivery,27
Delusion,927
Delusion of reference,13
Delusion of replacement,9
"Delusional disorder, unspecified type",24
Dementia,789
Dementia Alzheimer's type,200
Dementia with Lewy bodies,75
Demyelination,53
Dengue fever,43
Dental attrition,2
Dental care,68
Dental caries,324
Dental fistula,2
Dental implantation,31
Dental necrosis,4
Dental operation,38
Dental restoration failure,26
Dependence,213
Depersonalisation/derealisation disorder,180
Depressed level of consciousness,3196
Depressed mood,2480
Depression,14880
Depression suicidal,299
Depressive symptom,467
Derealisation,89
Dermal absorption increased,2
Dermal cyst,46
Dermatillomania,25
Dermatitis,412
Dermatitis acneiform,65
Dermatitis allergic,537
Dermatitis atopic,1208
Dermatitis bullous,273
Dermatitis contact,236
Dermatitis exfoliative,77
Dermatitis exfoliative generalised,125
Dermatitis infected,12
Dermatitis psoriasiform,29
Dermatomyositis,39
Detachment of macular retinal pigment epithelium,2
Developmental delay,105
Device adhesion issue,27
Device alarm issue,42
Device battery issue,25
Device breakage,308
Device connection issue,21
Device damage,11
Device defective,104
Device delivery system issue,94
Device deployment issue,61
Device difficult to use,206
Device dislocation,1241
Device expulsion,866
Device failure,148
Device ineffective,8
Device infusion issue,30
Device issue,1272
Device kink,42
Device leakage,250
Device maintenance issue,4
Device malfunction,898
Device material issue,25
Device mechanical issue,11
Device occlusion,140
Device physical property issue,19
Device power source issue,13
Device related bacteraemia,13
Device related infection,290
Device related sepsis,66
Device related thrombosis,18
Device safety feature issue,7
Device use error,111
Device use issue,101
Device wireless communication issue,2
Diabetes complicating pregnancy,1
Diabetes insipidus,74
Diabetes mellitus,1660
Diabetes mellitus inadequate control,229
Diabetic coma,23
Diabetic complication,18
Diabetic foot,47
Diabetic foot infection,7
Diabetic hyperosmolar coma,8
Diabetic ketoacidosis,696
Diabetic metabolic decompensation,20
Diabetic neuropathy,130
Diabetic retinopathy,10
Diabetic ulcer,18
Diabetic vascular disorder,2
Dialysis,127
Diaphragmatic hernia,8
Diaphragmatic paralysis,18
Diaphragmatic spasm,5
Diarrhoea,13927
Diarrhoea haemorrhagic,113
Diarrhoea infectious,10
Diastolic dysfunction,14
Diet failure,3
Dieulafoy's vascular malformation,13
Differential white blood cell count abnormal,87
Diffuse alopecia,28
Diffuse axonal injury,200
Diffuse idiopathic skeletal hyperostosis,2
Diffuse large B-cell lymphoma,63
Diffuse large B-cell lymphoma refractory,3
Dilatation ventricular,39
Dilated cardiomyopathy,16
Diplegia,38
Diplopia,734
Disability,462
Discharge,20
Discoloured vomit,39
Discomfort,990
Discouragement,19
Disease complication,63
Disease progression,1795
Disease recurrence,1389
Disinhibition,141
Dislocation of vertebra,6
Disorganised speech,68
Disorientation,1227
Disseminated intravascular coagulation,88
Disseminated tuberculosis,5
Dissociation,431
Dissociative disorder,106
Distractibility,55
Disturbance in attention,1671
Disturbance in social behaviour,47
Diverticular perforation,38
Diverticulitis,736
Diverticulitis intestinal haemorrhagic,8
Diverticulum,69
Diverticulum intestinal,45
Diverticulum intestinal haemorrhagic,73
Dizziness,14470
Dizziness exertional,13
Dizziness postural,236
Documented hypersensitivity to administered product,19
Dopamine dysregulation syndrome,40
Double stranded DNA antibody positive,3
Drainage,6
Drooling,239
Drop attacks,60
Dropped head syndrome,15
Drowning,52
Drug abuse,8901
Drug abuser,33
Drug administered at inappropriate site,110
Drug administered in wrong device,5
Drug administered to patient of inappropriate age,158
Drug administration error,588
Drug clearance decreased,31
Drug delivery system malfunction,52
Drug dependence,2254
Drug detoxification,25
Drug dispensed to wrong patient,69
Drug dispensing error,503
Drug diversion,118
Drug dose omission,4784
Drug dose omission by device,119
Drug effect decreased,1363
Drug effect delayed,99
Drug effect incomplete,1805
Drug effect increased,63
Drug effect less than expected,168
Drug effect variable,61
Drug effective for unapproved indication,348
Drug eruption,444
Drug exposure before pregnancy,8
Drug hypersensitivity,13219
Drug ineffective,39294
Drug ineffective for unapproved indication,2737
Drug interaction,13502
Drug intolerance,2251
Drug level abnormal,9
Drug level above therapeutic,90
Drug level below therapeutic,40
Drug level changed,4
Drug level decreased,140
Drug level increased,472
Drug monitoring procedure not performed,24
Drug prescribing error,435
Drug reaction with eosinophilia and systemic symptoms,1295
Drug resistance,353
Drug screen false positive,373
Drug screen negative,78
Drug screen positive,567
Drug titration error,332
Drug tolerance,195
Drug use disorder,329
Drug withdrawal convulsions,53
Drug withdrawal syndrome,3060
Drug withdrawal syndrome neonatal,997
Drug-genetic interaction,93
Drug-induced liver injury,1537
Dry age-related macular degeneration,151
Dry eye,836
Dry mouth,1921
Dry skin,1072
Dry throat,86
Ductal adenocarcinoma of pancreas,16
Duodenal perforation,23
Duodenal polyp,2
Duodenal stenosis,12
Duodenal ulcer,139
Duodenal ulcer haemorrhage,53
Duodenal ulcer perforation,42
Duodenitis,32
Duodenogastric reflux,10
Duplicate therapy error,12
Dupuytren's contracture,18
Dural tear,5
Dysaesthesia,39
Dysarthria,936
Dyschezia,49
Dysentery,9
Dysfunctional uterine bleeding,16
Dysgeusia,1143
Dysgraphia,176
Dyshidrotic eczema,9
Dyskinesia,1759
Dyslipidaemia,84
Dysmenorrhoea,158
Dyspareunia,35
Dyspepsia,1412
Dysphagia,1637
Dysphemia,260
Dysphonia,1010
Dysphoria,82
Dyspnoea,7178
Dyspnoea at rest,29
Dyspnoea exertional,436
Dyspraxia,2
Dysstasia,306
Dystonia,798
Dysuria,825
EGFR gene mutation,3
Ear discomfort,164
Ear disorder,68
Ear haemorrhage,45
Ear infection,707
Ear infection bacterial,7
Ear inflammation,3
Ear neoplasm malignant,3
Ear pain,252
Ear pruritus,43
Ear swelling,40
Eastern Cooperative Oncology Group performance status worsened,23
Eating disorder,274
Ecchymosis,104
Eclampsia,12
Economic problem,100
Ectopic pregnancy,40
Eczema,670
Eczema herpeticum,5
Eczema nummular,4
Ejaculation delayed,72
Ejaculation disorder,119
Ejaculation failure,74
Ejection fraction abnormal,14
Ejection fraction decreased,115
Elbow deformity,6
Elbow operation,10
Electric shock,26
Electric shock sensation,147
Electrocardiogram PR prolongation,31
Electrocardiogram QRS complex,1
Electrocardiogram QRS complex prolonged,205
Electrocardiogram QRS complex shortened,12
Electrocardiogram QT interval,11
Electrocardiogram QT prolonged,2734
Electrocardiogram ST segment abnormal,3
Electrocardiogram ST segment elevation,60
Electrocardiogram T wave inversion,20
Electrocardiogram abnormal,148
Electroencephalogram abnormal,53
Electrolyte depletion,9
Electrolyte imbalance,107
Electromyogram abnormal,1
Elevated mood,20
Embedded device,65
Embolic cerebral infarction,10
Embolic stroke,32
Embolism,112
Embolism arterial,24
Embolism venous,55
Emergency care,37
Emotional disorder,586
Emotional distress,767
Emphysema,90
Emphysematous cystitis,12
Empyema,27
Encephalitis,82
Encephalitis haemorrhagic,1
Encephalopathy,794
End stage renal disease,306
Endocarditis,38
Endocrine disorder,12
Endodontic procedure,45
Endometrial adenocarcinoma,31
Endometrial cancer,40
Endometrial cancer metastatic,1
Endometrial hyperplasia,18
Endometriosis,181
Endophthalmitis,33
Endoscopic retrograde cholangiopancreatography,1
Endoscopy,21
Endothelial dysfunction,1
Endotracheal intubation,28
Energy increased,189
Enlarged uvula,7
Enteritis,78
Enterobacter bacteraemia,1
Enterobacter pneumonia,3
Enterococcal bacteraemia,6
Enterococcal infection,30
Enterocolitis,90
Enterocolitis haemorrhagic,7
Enterocolitis infectious,9
Enterostomy closure,2
Enterovirus test positive,3
Entropion,2
Enuresis,278
Environmental exposure,34
Enzyme induction,2
Enzyme level increased,8
Eosinophil count abnormal,5
Eosinophil count increased,72
Eosinophilia,328
Eosinophilic granulomatosis with polyangiitis,21
Eosinophilic pneumonia,86
Ependymoma,4
Epicondylitis,21
Epidermolysis bullosa,2
Epididymitis,10
Epigastric discomfort,61
Epiglottitis,9
Epilepsy,1126
Epistaxis,1213
Epstein-Barr viraemia,6
Epstein-Barr virus antibody positive,1
Epstein-Barr virus associated lymphoproliferative disorder,5
Epstein-Barr virus test positive,1
Erdheim-Chester disease,1
Erectile dysfunction,908
Erection increased,45
Eructation,126
Erysipelas,132
Erythema,2008
Erythema annulare,10
Erythema multiforme,209
Erythema nodosum,43
Erythema of eyelid,49
Erythromelalgia,29
Eschar,5
Escherichia bacteraemia,25
Escherichia infection,88
Escherichia sepsis,33
Escherichia test positive,18
Escherichia urinary tract infection,129
Essential hypertension,36
Essential tremor,75
Euglycaemic diabetic ketoacidosis,124
Euphoric mood,315
Euthanasia,12
Excessive granulation tissue,14
Excoriation,4
Exercise lack of,7
Exercise tolerance decreased,26
Exfoliative rash,35
Exostosis,202
Exostosis of jaw,11
Expanded disability status scale score increased,13
Expired product administered,446
Exploding head syndrome,3
Exploratory operation,2
Exposed bone in jaw,35
Exposure during breast feeding,267
Exposure during pregnancy,3152
Exposure to SARS-CoV-2,36
Exposure to toxic agent,215
Exposure via breast milk,383
Exposure via eye contact,3
Exposure via father,36
Exposure via ingestion,20
Exposure via partner,8
Exposure via skin contact,33
External ear cellulitis,4
Extra dose administered,453
Extradural abscess,13
Extradural haematoma,66
Extranodal marginal zone B-cell lymphoma (MALT type),14
Extrapyramidal disorder,657
Extrarenal pelvis,3
Extrasystoles,96
Extravasation,23
Extremity necrosis,24
Eye allergy,33
Eye colour change,14
Eye contusion,41
Eye discharge,104
Eye disorder,414
Eye haemorrhage,125
Eye infection,184
Eye infection viral,5
Eye inflammation,51
Eye injury,32
Eye irritation,445
Eye movement disorder,144
Eye naevus,10
Eye oedema,11
Eye operation,62
Eye pain,942
Eye pruritus,223
Eye swelling,388
Eyelid disorder,29
Eyelid function disorder,9
Eyelid oedema,100
Eyelid operation,12
Eyelid pain,31
Eyelid ptosis,109
Eyelid tumour,1
Face injury,55
Face oedema,198
Facet joint syndrome,7
Facial bones fracture,126
Facial pain,112
Facial paralysis,195
Facial paresis,43
Facial spasm,33
Factitious disorder,11
Factor VIII deficiency,5
Faecal calprotectin increased,26
Faecal vomiting,17
Faecaloma,163
Faeces discoloured,261
Faeces hard,35
Faeces pale,20
Faeces soft,64
Failure to anastomose,1
Failure to thrive,97
Fall,11531
Fallopian tube cancer,3
False positive investigation result,132
Familial haemophagocytic lymphohistiocytosis,1
Fanconi syndrome acquired,24
Fasciitis,7
Fat embolism syndrome,4
Fatigue,12154
Fatty liver alcoholic,4
Fear,230
Fear of disease,17
Fear of falling,9
Fear of injection,43
Febrile bone marrow aplasia,71
Febrile neutropenia,1110
Feeding disorder,183
Feeding disorder neonatal,48
Feeding intolerance,7
Feeding tube user,7
Feeling abnormal,4445
Feeling cold,228
Feeling drunk,166
Feeling hot,654
Feeling jittery,457
Feeling of body temperature change,53
Feeling of despair,52
Feeling of relaxation,16
Female genital tract fistula,34
Female orgasmic disorder,46
Female sterilisation,10
Femoral neck fracture,102
Femur fracture,340
Fibrin D dimer increased,40
Fibrocystic breast disease,10
Fibromyalgia,773
Fibrosis,40
Fibrous histiocytoma,2
Fibula fracture,36
Fine motor skill dysfunction,45
Finger deformity,18
Fistula,119
Fixed eruption,24
Flagellate dermatitis,6
Flank pain,132
Flatulence,363
Flavivirus infection,5
Fluid intake reduced,45
Fluid overload,106
Fluid replacement,20
Fluid retention,662
Flushing,1098
Foaming at mouth,41
Focal dyscognitive seizures,45
Foetal arrhythmia,11
Foetal death,429
Foetal disorder,133
Foetal exposure during delivery,1
Foetal exposure during pregnancy,4277
Foetal growth restriction,82
Foetal heart rate abnormal,8
Foetal hypokinesia,10
Foetal macrosomia,1
Foetal malformation,3
Foetal monitoring abnormal,17
Folate deficiency,36
