pt,no_events_global
Angiogenesis biomarker decreased,1
Angiogram,127
Angiogram abnormal,23
Angiogram cerebral,2
Angiogram cerebral abnormal,7
Angiogram peripheral,1
Angiogram peripheral abnormal,4
Angiogram pulmonary abnormal,8
Angiogram retina abnormal,19
Angioimmunoblastic T-cell lymphoma,191
Angioimmunoblastic T-cell lymphoma recurrent,9
Angioimmunoblastic T-cell lymphoma refractory,7
Angioimmunoblastic T-cell lymphoma stage I,3
Angioimmunoblastic T-cell lymphoma stage II,1
Angioimmunoblastic T-cell lymphoma stage III,13
Angioimmunoblastic T-cell lymphoma stage IV,24
Angiokeratoma,42
Angiolipoma,32
Angiolymphoid hyperplasia with eosinophilia,15
Angiomyolipoma,71
Angiomyxoma,6
Angiopathic neuropathy,9
Angiopathy,2079
Angioplasty,585
Angiosarcoma,304
Angiosarcoma metastatic,67
Angiosarcoma recurrent,4
Angiosclerosis,20
Angioscopy,2
Angiotensin converting enzyme decreased,4
Angiotensin converting enzyme increased,39
Angiotensin converting enzyme inhibitor foetopathy,60
Angiotensin II increased,4
Angiotensin II receptor type 1 antibody positive,2
Angle closure glaucoma,1274
Angular cheilitis,374
Anhedonia,17445
Anhidrosis,133
Animal attack,38
Animal bite,1435
Animal phobia,1
Animal scratch,454
Anion gap,143
Anion gap abnormal,71
Anion gap decreased,88
Anion gap increased,338
Anion gap normal,1
Aniridia,4
Anisakiasis,1
Aniseikonia,6
Anisochromia,11
Anisocoria,33
Anisocytosis,153
Anisomastia,17
Anisometropia,10
Ankle arthroplasty,201
Ankle brachial index abnormal,4
Ankle brachial index decreased,22
Ankle brachial index increased,1
Ankle deformity,207
Ankle fracture,8241
Ankle impingement,10
Ankle operation,763
Ankyloglossia acquired,4
Ankyloglossia congenital,249
Ankylosing spondylitis,6954
Annular elastolytic giant cell granuloma,11
Annular pancreas,4
Annuloplasty,13
Anodontia,2
Anogenital dysplasia,54
Anogenital warts,514
Anomalous arrangement of pancreaticobiliary duct,10
Anomalous atrioventricular excitation,3
Anomalous pulmonary venous connection,132
Anomaly of external ear congenital,127
Anomaly of middle ear congenital,4
"Anomaly of orbit, congenital",6
Anonychia,13
Anophthalmos,18
Anoplasty,7
Anorchism,1
Anorectal agenesis,5
Anorectal cellulitis,26
Anorectal discomfort,1099
Anorectal disorder,627
Anorectal haemangioma,1
Anorectal human papilloma virus infection,6
Anorectal infection,107
Anorectal infection bacterial,12
Anorectal malformation,8
Anorectal operation,104
Anorectal sensory loss,4
Anorectal stenosis,14
Anorectal swelling,67
Anorectal ulcer,16
Anorectal varices,13
Anorectal varices haemorrhage,10
Anorexia and bulimia syndrome,3
Anorexia nervosa,103
Anorgasmia,1036
Anosmia,2163
Anosognosia,334
Anotia,30
Anovulatory cycle,88
Anovulvar fistula,4
Anoxia,87
Antabuse implant,1
Antasthmatic drug level,1
Antemortem blood drug level abnormal,1
Antemortem blood drug level increased,1
Anterior capsular rupture,7
Anterior capsule contraction,5
Anterior capsule opacification,1
Anterior chamber angle neovascularisation,5
Anterior chamber cell,436
Anterior chamber cleavage syndrome,21
Anterior chamber collapse,2
Anterior chamber crystallisation,3
Anterior chamber degeneration,1
Anterior chamber disorder,111
Anterior chamber fibrin,73
Anterior chamber flare,79
Anterior chamber inflammation,269
Anterior chamber opacity,4
Anterior chamber pigmentation,13
Anterior displaced anus,28
Anterior interosseous syndrome,13
Anterior segment ischaemia,5
Anterior segment neovascularisation,1
Anterior spinal artery syndrome,41
Anterograde amnesia,249
Anthrax,11
Anti A antibody,5
Anti A antibody positive,37
Antiacetylcholine receptor antibody,1
Antiacetylcholine receptor antibody positive,38
Anti-actin antibody,2
Anti-actin antibody positive,10
Antiallergic therapy,2
Antiandrogen therapy,19
Anti-androgen withdrawal syndrome,11
Anti-aquaporin-4 antibody positive,8
Anti B antibody positive,2
Antibiotic associated colitis,19
Antibiotic level,2
Antibiotic level above therapeutic,123
Antibiotic level below therapeutic,73
Antibiotic level therapeutic,1
Antibiotic prophylaxis,13
Antibiotic therapy,628
Antibody test,51
Antibody test abnormal,365
Antibody test negative,129
Antibody test positive,643
Anticholinergic syndrome,725
Anticipatory anxiety,67
Anticoagulant-related nephropathy,51
Anticoagulant therapy,69
Anticoagulation drug level,10
Anticoagulation drug level abnormal,73
Anticoagulation drug level above therapeutic,840
Anticoagulation drug level below therapeutic,419
Anticoagulation drug level decreased,79
Anticoagulation drug level increased,242
Anticoagulation drug level therapeutic,1
Anti-complement antibody,1
Anticonvulsant drug level,2
Anticonvulsant drug level abnormal,73
Anticonvulsant drug level above therapeutic,195
Anticonvulsant drug level below therapeutic,179
Anticonvulsant drug level decreased,451
Anticonvulsant drug level increased,491
Anticonvulsant drug level therapeutic,1
Anti-cyclic citrullinated peptide antibody,24
Anti-cyclic citrullinated peptide antibody negative,1
Anti-cyclic citrullinated peptide antibody positive,693
Antidepressant discontinuation syndrome,30
Antidepressant drug clearance decreased,12
Antidepressant drug level,3
Antidepressant drug level above therapeutic,68
Antidepressant drug level below therapeutic,7
Antidepressant drug level decreased,9
Antidepressant drug level increased,79
Antidepressant therapy,17
Antidiuretic hormone abnormality,37
Anti-erythrocyte antibody,8
Anti-erythrocyte antibody positive,30
Anti-erythropoietin antibody,11
Anti-erythropoietin antibody negative,63
Anti-erythropoietin antibody positive,74
Anti factor IX antibody increased,5
Anti factor IX antibody positive,13
Anti factor V antibody,8
Anti factor V antibody positive,19
Anti factor VII antibody positive,5
Anti factor VIII antibody increased,108
Anti factor VIII antibody negative,3
Anti factor VIII antibody positive,357
Anti factor VIII antibody test,24
Anti factor Xa activity decreased,17
Anti factor X activity,1
Anti factor X activity abnormal,1
Anti factor X activity decreased,3
Anti factor X activity increased,30
Anti factor X antibody,1
Anti factor X antibody positive,6
Antifungal prophylaxis,1
Antifungal treatment,5
Anti-GAD antibody,6
Anti-GAD antibody positive,43
Anti-ganglioside antibody,3
Anti-ganglioside antibody positive,5
Antigliadin antibody positive,5
Anti-glomerular basement membrane antibody,8
Anti-glomerular basement membrane antibody positive,8
Anti-glomerular basement membrane disease,24
Anti-glycyl-tRNA synthetase antibody positive,1
Anti-HLA antibody test positive,8
Anti-infective therapy,1
Antiinflammatory therapy,2
Anti-insulin antibody,18
Anti-insulin antibody increased,37
Anti-insulin antibody positive,57
Anti-insulin receptor antibody,1
Anti-insulin receptor antibody positive,3
Anti-interferon antibody,6
Anti-interferon antibody positive,72
Anti-JC virus antibody index,42
Anti-melanoma differentiation-associated protein 5 antibody positive,2
Antimicrobial susceptibility test,6
Antimicrobial susceptibility test intermediate,1
Antimicrobial susceptibility test resistant,112
Antimicrobial susceptibility test sensitive,3
Antimitochondrial antibody,4
Antimitochondrial antibody positive,33
Anti-Muellerian hormone level decreased,46
Anti-Muellerian hormone level increased,4
Anti-muscle specific kinase antibody positive,1
Anti-myelin-associated glycoprotein antibodies positive,16
Anti-myelin-associated glycoprotein associated polyneuropathy,20
Anti-neuronal antibody,1
Anti-neuronal antibody positive,1
Antineutrophil cytoplasmic antibody,35
Antineutrophil cytoplasmic antibody decreased,9
Antineutrophil cytoplasmic antibody increased,75
Antineutrophil cytoplasmic antibody negative,8
Antineutrophil cytoplasmic antibody positive,189
Anti-neutrophil cytoplasmic antibody positive vasculitis,1185
Anti-NMDA antibody positive,6
Antinuclear antibody,57
Antinuclear antibody increased,377
Antinuclear antibody negative,23
Antinuclear antibody positive,767
Antiphospholipid antibodies,52
Antiphospholipid antibodies negative,4
Antiphospholipid antibodies positive,181
Antiphospholipid syndrome,682
Anti-platelet antibody,17
Anti-platelet antibody negative,1
Anti-platelet antibody positive,22
Anti-platelet factor 4 antibody positive,4
Antiplatelet therapy,1
Anti-polyethylene glycol antibody,2
Anti-polyethylene glycol antibody present,5
Anti-prothrombin antibody positive,1
Antipsychotic drug level,11
Antipsychotic drug level above therapeutic,388
Antipsychotic drug level below therapeutic,172
Antipsychotic drug level decreased,292
Antipsychotic drug level increased,1158
Antipsychotic drug level therapeutic,1
Antipsychotic therapy,1
Antipyresis,1
Anti-saccharomyces cerevisiae antibody test positive,1
Antisocial behaviour,254
Antisocial personality disorder,27
Anti-SRP antibody positive,3
Antisynthetase syndrome,77
Antithrombin III,15
Antithrombin III abnormal,2
Antithrombin III decreased,74
Antithrombin III deficiency,25
Antithrombin III increased,4
Anti-thyroid antibody,29
Anti-thyroid antibody decreased,1
Anti-thyroid antibody increased,17
Anti-thyroid antibody negative,1
Anti-thyroid antibody positive,231
Antithyroid arthritis syndrome,18
Anti-titin antibody,1
Anti-transglutaminase antibody,5
Anti-transglutaminase antibody decreased,1
Anti-transglutaminase antibody increased,37
Antitussive therapy,2
Anti-VGCC antibody positive,4
Anti-VGKC antibody,1
Anti-VGKC antibody positive,2
Anti-vimentin antibody positive,2
Antiviral drug level above therapeutic,29
Antiviral drug level below therapeutic,22
Antiviral prophylaxis,9
Antiviral treatment,2
Anti-zinc transporter 8 antibody positive,5
Antral follicle count low,1
Anuria,2264
Anxiety,103386
Anxiety disorder,1184
Anxiety disorder due to a general medical condition,26
Anxiolytic therapy,9
Aorta coarctation repair,7
Aorta hypoplasia,144
Aortic anastomosis,8
Aortic aneurysm,4723
Aortic aneurysm repair,36
Aortic aneurysm rupture,467
Aortic aneurysm thrombosis,1
Aortic arteriosclerosis,600
Aortic bruit,27
Aortic bypass,25
Aortic calcification,83
Aortic dilatation,343
Aortic disorder,273
Aortic dissection,1505
Aortic dissection rupture,37
Aortic elongation,16
Aortic embolus,30
Aortic injury,28
Aortic intramural haematoma,56
Aortic occlusion,162
Aorticopulmonary septal defect,16
Aorticopulmonary window repair,1
Aortic perforation,14
Aortic pseudoaneurysm,18
Aortic restenosis,5
Aortic root compression,1
Aortic rupture,181
Aortic stenosis,1310
Aortic stent insertion,20
Aortic surgery,52
Aortic thrombosis,464
Aortic valve atresia,30
Aortic valve calcification,123
Aortic valve disease,682
Aortic valve disease mixed,17
Aortic valve incompetence,939
Aortic valve prolapse,17
Aortic valve repair,43
Aortic valve replacement,492
Aortic valve sclerosis,96
Aortic valve stenosis,656
Aortic valve thickening,19
Aortic valvotomy,1
Aortic wall hypertrophy,17
Aortitis,371
Aortitis salmonella,4
Aorto-atrial fistula,1
Aorto-bronchial fistula,1
Aorto-duodenal fistula,11
Aortoenteric fistula,41
Aortogram abnormal,1
Aorto-oesophageal fistula,34
APACHE II score increased,1
Apallic syndrome,272
Apathy,4301
Apert's syndrome,4
Apgar score abnormal,65
Apgar score low,479
Aphagia,331
Aphakia,10
Aphakia congenital,1
Aphakic glaucoma,2
Aphasia,12160
Apheresis,26
Apheresis related complication,7
Aphonia,7092
Aphonia psychogenic,3
Aphthous stomatitis,270
Aphthous ulcer,3747
Apical granuloma,25
Apicectomy,5
Apituitarism,2
Aplasia,1079
Aplasia cutis congenita,58
Aplasia pure red cell,1323
Aplastic anaemia,2387
Apnoea,3072
Apnoea neonatal,89
Apnoea test,2
Apnoea test abnormal,21
Apnoeic attack,192
Apocrine breast carcinoma,22
APOL1-mediated kidney disease,1
Apolipoprotein A-I decreased,1
Apolipoprotein A-I increased,1
Apolipoprotein B decreased,1
Apolipoprotein B increased,8
Apolipoprotein increased,2
Aponeurosis contusion,2
Apoptosis,73
Apoptotic colonopathy,41
Apparent death,2348
Apparent life threatening event,183
Apparent mineralocorticoid excess,34
Appendiceal abscess,94
Appendiceal mucocoele,16
Appendicectomy,1382
Appendicitis,4326
Appendicitis noninfective,28
Appendicitis perforated,1047
Appendicolith,30
Appendix adenoma,5
Appendix cancer,771
Appendix cancer metastatic,3
Appendix disorder,599
Appetite disorder,2259
Application site abscess,14
Application site acne,286
Application site alopecia,37
Application site anaesthesia,3
Application site atrophy,12
Application site bruise,726
Application site burn,2870
Application site calcification,1
Application site cellulitis,27
Application site cold feeling,1
Application site coldness,65
Application site cyst,7
Application site dermatitis,227
Application site discharge,724
Application site discolouration,2085
Application site discomfort,1065
Application site dryness,1787
Application site dysaesthesia,6
Application site eczema,35
Application site erosion,512
Application site erythema,11684
Application site exfoliation,1019
Application site extravasation,57
Application site fibrosis,2
Application site fissure,21
Application site folliculitis,31
Application site granuloma,3
Application site haematoma,40
Application site haemorrhage,1798
Application site hyperaesthesia,21
Application site hypersensitivity,467
Application site hypertrichosis,2
Application site hypertrophy,1
Application site hypoaesthesia,104
Application site induration,36
Application site infection,189
Application site inflammation,274
Application site injury,97
Application site irritation,3806
Application site ischaemia,2
Application site joint discomfort,2
Application site joint effusion,1
Application site joint erythema,6
Application site joint infection,4
Application site joint inflammation,2
Application site joint movement impairment,3
Application site joint swelling,3
Application site laceration,196
Application site lymphadenopathy,1
Application site macule,6
Application site mass,110
Application site movement impairment,4
Application site necrosis,35
Application site nerve damage,3
Application site nodule,33
Application site odour,63
Application site oedema,48
Application site pain,8298
Application site pallor,19
Application site papules,188
Application site paraesthesia,229
Application site perspiration,83
Application site phlebitis,1
Application site photosensitivity reaction,7
Application site plaque,6
Application site pruritus,4928
Application site purpura,5
Application site pustules,45
Application site rash,4082
Application site reaction,1604
Application site recall reaction,5
Application site scab,244
Application site scar,116
Application site streaking,3
Application site swelling,436
Application site telangiectasia,5
Application site thrombosis,6
Application site ulcer,137
Application site urticaria,256
Application site vasculitis,1
Application site vesicles,869
Application site warmth,125
Application site wound,43
Apraxia,422
Aptyalism,344
Aquagenic pruritus,43
Aquagenic wrinkling of palms,8
Aqueductal stenosis,26
Aqueous fibrin,16
Aqueous humour leakage,20
Arachnodactyly,23
Arachnoid cyst,123
Arachnoiditis,306
Arachnoid web,7
Arachnophobia,2
Arboviral infection,4
Arcus lipoides,15
Areflexia,714
Argentine haemorrhagic fever,7
Arginase deficiency,2
Argininosuccinate lyase decreased,1
Argininosuccinate lyase deficiency,4
Argininosuccinate synthetase deficiency,4
Argon plasma coagulation,1
Argyria,11
Arm amputation,55
Arnold-Chiari malformation,402
Aromatase inhibition therapy,3
Arrested labour,103
Arrhythmia,20030
Arrhythmia neonatal,71
Arrhythmia supraventricular,341
Arrhythmic storm,55
Arrhythmogenic right ventricular dysplasia,24
Arterectomy,3
Arterectomy with graft replacement,2
Arterial aneurysm repair,5
Arterial angioplasty,10
Arterial bruit,6
Arterial bypass occlusion,18
Arterial bypass operation,30
Arterial bypass stenosis,2
Arterial bypass thrombosis,3
Arterial catheterisation,26
Arterial catheterisation abnormal,2
Arterial disorder,722
Arterial dolichoectasia,1
Arterial fibrosis,18
Arterial flow velocity increased,1
Arterial graft,8
Arterial haemorrhage,511
Arterial injury,294
Arterial insufficiency,65
Arterial intramural haematoma,35
Arterial ligation,3
